commanded_deg,actual_deg_est,slew_deg_per_s,slew_raw_counts_per_s,transition_avg_slew_deg_s,transition_net_slew_deg_s,rolling_up_net_slew_deg_s,rolling_down_net_slew_deg_s,endpoint_util_pct
90.4991670832341,90.2498958463534,0,0,200,180,220,215,92
90.9933466539753,90.747190662368,0,0,200,180,220,215,92
91.4776010333067,91.2370197962726,0,0,200,180,220,215,92
91.9470917115433,91.7144890372773,0,0,200,180,220,215,92
92.397127693021,92.1748276705562,0,0,200,180,220,215,92
92.8232123669752,92.6134361446533,0,0,200,180,220,215,92
93.2210884361885,93.0259320286802,0,0,200,180,220,215,92
93.5867804544976,93.4081938001167,0,0,200,180,220,215,92
93.9166345481374,93.7564020257015,0,0,200,180,220,215,92
94.2073549240395,94.0670775239469,0,0,200,180,220,215,92
94.4560368003072,94.3371161279701,0,0,200,180,220,215,92
94.6601954298361,94.5638197013026,0,0,200,180,220,215,92
94.817790927086,94.7449230967779,0,0,200,180,220,215,92
94.9272486499423,94.8786167891333,0,0,200,180,220,215,92
94.9874749330203,94.9635649551879,0,0,200,180,220,215,92
94.9978680152075,94.9989188209468,0,0,200,180,220,215,92
94.9583240522623,94.9843251422696,0,0,200,180,220,215,92
94.869238154391,94.9199297343697,0,0,200,180,220,215,92
94.7315004384371,94.8063760148765,0,0,200,180,220,215,92
94.5464871341284,94.6447985750194,0,0,200,180,220,215,92
94.3160468332444,94.4368118431669,0,0,200,180,220,215,92
94.0424820190979,94.1844939539925,0,0,200,180,220,215,92
93.7285260608836,93.8903659844396,0,0,200,180,220,215,92
93.3773159027558,93.5573667639542,0,0,200,180,220,215,92
92.9923607205198,93.1888235106725,0,0,200,180,220,215,92
92.5775068591073,92.7884185869571,0,0,200,180,220,215,92
92.1368994011691,92.3601527064494,0,0,200,180,220,215,92
91.6749407507795,91.9083049602617,0,0,200,180,220,215,92
91.1962466460699,91.4373900617127,0,0,200,180,220,215,92
90.7056000402993,90.9521132368051,0,0,200,180,220,215,92
90.2079033121665,90.4573232111622,0,0,200,180,220,215,92
89.7081292828621,89.9579637631643,0,0,200,180,220,215,92
89.2112715292838,89.4590243273495,0,0,200,180,220,215,92
88.7222944898658,88.965490141633,0,0,200,180,220,215,92
88.2460838615519,88.4822924364579,0,0,200,180,220,215,92
87.7873977835257,88.0142591635702,0,0,200,180,220,215,92
87.3508192954575,87.5660667567215,0,0,200,180,220,215,92
86.9407105452864,87.1421934062883,0,0,200,180,220,215,92
86.5611692040801,86.7468743146742,0,0,200,180,220,215,92
86.2159875234604,86.3840593795674,0,0,200,180,220,215,92
85.908614444678,86.057373727869,0,0,200,180,220,215,92
85.6421211379321,85.7700814946228,0,0,200,180,220,215,92
85.4191703162527,85.5250532088571,0,0,200,180,220,215,92
85.2419896305524,85.3247371122078,0,0,200,180,220,215,92
85.1123494116745,85.1711346968968,0,0,200,180,220,215,92
85.0315449818327,85.0657807074838,0,0,200,180,220,215,92
85.0003837121795,85.0097278062056,0,0,200,180,220,215,92
85.0191769558208,85.0035360551231,0,0,200,180,220,215,92
85.0877369368783,85.0472673201664,0,0,200,180,220,215,92
85.2053786266843,85.1404846529909,0,0,200,180,220,215,92
85.3709265883613,85.2822566568205,0,0,200,180,220,215,92
85.5827267213992,85.4711667926565,0,0,200,180,220,215,92
85.8386627888805,85.705327532867,0,0,200,180,220,215,92
86.1361775622201,85.9823992207392,0,0,200,180,220,215,92
86.472298372148,86.2996134475555,0,0,200,180,220,215,92
86.8436668106384,86.6538007136187,0,0,200,180,220,215,92
87.2465722870118,87.041422096845,0,0,200,180,220,215,92
87.6769891029312,87.4586046125037,0,0,200,180,220,215,92
88.1306166758488,87.9011799108007,0,0,200,180,220,215,92
88.6029225090054,88.3647259256513,0,0,200,180,220,215,92
